Site,Habitat_Type,Fossitt,Area..m2.,condscore
ME,Woodland and scrub,WD4,245016.16,0.74
ME,Woodland and scrub,WD4,37449.94,0.88
ME,Woodland and scrub,WD4,103227.95,0.74
ME,Woodland and scrub,WD4,239957.9,0.79
ME,Woodland and scrub,WD4,35979.91,0.72
ME,Woodland and scrub,WD4,4511.89,0.85
ME,Woodland and scrub,WD4,7298.49,0.85
ME,Woodland and scrub,WD4,24949.73,0.75
ME,Woodland and scrub,WD4,157406.19,0.78
ME,Woodland and scrub,WD4,67581.09,0.86
ME,Woodland and scrub,WD4,332616.88,0.78
ME,Woodland and scrub,WD4,151151.86,0.44
ME,Woodland and scrub,WD4,57295.13,0.61
ME,Woodland and scrub,WD4,20459.08,0.78
ME,Woodland and scrub,WD4,3230.39,0.88
ME,Woodland and scrub,WD4,44309.07,0.88
ME,Woodland and scrub,WD4,2523.65,0.99
ME,Woodland and scrub,WD4,16812.73,0.74
ME,Woodland and scrub,WD4,188618.15,0.9
ME,Woodland and scrub,WD4,11750.41,0.85
ME,Woodland and scrub,WD4,21415.01,0.76
ME,Woodland and scrub,WD4,43519.18,0.4
ME,Woodland and scrub,WD4,10624.84,0.57
ME,Woodland and scrub,WD4,62948.71,0.74
ME,Woodland and scrub,WD4,19478.15,0.74
ME,Woodland and scrub,WD4,12311.1,0.51
ME,Woodland and scrub,WD4,50920.08,0.46
ME,Woodland and scrub,WD4,81344.53,0.49
ME,Woodland and scrub,WD4,692853.02,0.31
ME,Woodland and scrub,WD4,8675.98,0.88
ME,Woodland and scrub,WD4,25962.68,0.9
ME,Woodland and scrub,WD4,90639.63,0.9
ME,Woodland and scrub,WD4,30526.32,0.88
ME,Woodland and scrub,WD4,23550.17,0.88
ME,Woodland and scrub,WD4,34017.13,0.51
ME,Woodland and scrub,WD4,37567.85,0.47
ME,Woodland and scrub,WD4,20339.59,0.4
ME,Woodland and scrub,WD4,21113.25,0.78
ME,Woodland and scrub,WD4,31525.69,0.6
ME,Woodland and scrub,WD4,61143.75,0.57
ME,Woodland and scrub,WD4,67979.64,0.78
ME,Woodland and scrub,WD4,41080.9,0.57
ME,Woodland and scrub,WD4,10275.2,0.57
