Site,Habitat_Type,Fossitt,Area..m2.,condscore
AR,Woodland and scrub,WD4,1512.365067,0.28
AR,Woodland and scrub,WD4,132104.7633,0.29
AR,Woodland and scrub,WD4,2209.430823,0.36
AR,Woodland and scrub,WD4,14541.94309,0.36
AR,Woodland and scrub,WD4,130420.0187,0.24
AR,Woodland and scrub,WD4,72167.29496,0.36
AR,Woodland and scrub,WD4,65526.08451,0.39
AR,Woodland and scrub,WD4,1804.12604,0.36
AR,Woodland and scrub,WD4,21451.29249,0.36
AR,Woodland and scrub,WD4,65677.51165,0.36
AR,Woodland and scrub,WD4,143335.2941,0.36
AR,Woodland and scrub,WD4,22317.26514,0.38
AR,Woodland and scrub,WD4,10657.45438,0.26
AR,Woodland and scrub,WD4,18640.96228,0.36
AR,Woodland and scrub,WD4,62300.59265,0.35
AR,Woodland and scrub,WD4,134620.9594,0.35
AR,Woodland and scrub,WD4,11729.91813,0.36
AR,Woodland and scrub,WD4,9760.344564,0.44
AR,Woodland and scrub,WD4,25093.79884,0.36
AR,Woodland and scrub,WD4,82497.40131,0.4
AR,Woodland and scrub,WD4,39779.90845,0.4
AR,Woodland and scrub,WD4,65219.42859,0.36
AR,Woodland and scrub,WD4,49666.22507,0.36
AR,Woodland and scrub,WD4,33034.32588,0.36
AR,Woodland and scrub,WD4,63736.32801,0.4
AR,Woodland and scrub,WD4,28906.97293,0.4
AR,Woodland and scrub,WD4,48579.83002,0.36
AR,Woodland and scrub,WD4,31988.24603,0.38
AR,Woodland and scrub,WD4,180649.614,0.36
AR,Woodland and scrub,WD4,102832.0978,0.36
AR,Woodland and scrub,WD4,85747.13915,0.33
AR,Woodland and scrub,WD4,11278.57773,0.44
AR,Woodland and scrub,WD4,4981.788786,0.4
AR,Woodland and scrub,WD4,29765.39294,0.32
AR,Woodland and scrub,WD4,51406.05403,0.36
AR,Woodland and scrub,WD4,59120.99999,0.42
AR,Woodland and scrub,WD4,33361.00059,0.4
AR,Woodland and scrub,WD4,20888.82432,0.44
AR,Woodland and scrub,WD4,51422.75613,0.44
AR,Woodland and scrub,WD4,189440.2675,0.53
AR,Woodland and scrub,WD4,35554.66471,0.53
AR,Woodland and scrub,WD4,56991.26012,0.44
AR,Woodland and scrub,WD4,103452.4189,0.46
AR,Woodland and scrub,WD4,75024.60313,0.5
AR,Woodland and scrub,WD4,87356.91281,0.5
AR,Woodland and scrub,WD4,74742.643,0.44
AR,Woodland and scrub,WD4,31003.64429,0.46
AR,Woodland and scrub,WD4,83875.42925,0.49
AR,Woodland and scrub,WD4,506766.3217,0.44
AR,Woodland and scrub,WD4,53607.75621,0.26
AR,Woodland and scrub,WD4,28189.83971,0.26
AR,Woodland and scrub,WD4,31691.61291,0.44
AR,Woodland and scrub,WD4,362918.0521,0.61
AR,Woodland and scrub,WD4,75520.22387,0.43
AR,Woodland and scrub,WD4,159478.4446,0.49
AR,Woodland and scrub,WD4,49772.09734,0.4
AR,Woodland and scrub,WD4,215946.0763,0.43
AR,Woodland and scrub,WD4,65524.37937,0.35
AR,Woodland and scrub,WD4,258975.2654,0.35
AR,Woodland and scrub,WD4,23900.57607,0.42
AR,Woodland and scrub,WD4,8179.010464,0.38
AR,Woodland and scrub,WD4,39845.8815,0.35
AR,Woodland and scrub,WD4,137231.6289,0.49
AR,Woodland and scrub,WD4,127465.6519,0.51
AR,Woodland and scrub,WD4,9414.759391,0.49
AR,Woodland and scrub,WD4,112985.4287,0.44
AR,Woodland and scrub,WD4,213041.7056,0.47
AR,Woodland and scrub,WD4,86218.41534,0.32
AR,Woodland and scrub,WD4,28395.48668,0.47
AR,Woodland and scrub,WD4,161369.5531,0.47
AR,Woodland and scrub,WD4,66169.39721,0.38
AR,Woodland and scrub,WD4,23671.892,0.4
AR,Woodland and scrub,WD4,62520.60369,0.36
AR,Woodland and scrub,WD4,34090.75313,0.51
AR,Woodland and scrub,WD4,95969.81812,0.51
AR,Woodland and scrub,WD4,76631.08738,0.51
AR,Woodland and scrub,WD4,81384.7538,0.51
AR,Woodland and scrub,WD4,25909.07831,0.36
AR,Woodland and scrub,WD4,143876.2861,0.44
AR,Woodland and scrub,WD4,58991.42667,0.4
AR,Woodland and scrub,WD4,47168.26431,0.47
AR,Woodland and scrub,WD4,29924.97582,0.4
AR,Woodland and scrub,WD4,19184.39343,0.56
AR,Woodland and scrub,WD4,6432.972305,0.4
AR,Woodland and scrub,WD4,2006.295215,0.4
AR,Woodland and scrub,WD4,102912.7846,0.4
AR,Woodland and scrub,WD4,82832.08371,0.44
AR,Woodland and scrub,WD4,351893.306,0.44
AR,Woodland and scrub,WD4,23965.56296,0.32
AR,Woodland and scrub,WD4,137124.3009,0.32
AR,Woodland and scrub,WD4,36013.42557,0.32
AR,Woodland and scrub,WD4,129998.204,0.36
AR,Woodland and scrub,WD4,45854.65099,0.35
AR,Woodland and scrub,WD4,85407.02927,0.35
AR,Woodland and scrub,WD4,36505.6789,0.35
AR,Woodland and scrub,WD4,86366.74099,0.35
AR,Woodland and scrub,WD4,43712.37651,0.36
AR,Woodland and scrub,WD4,58218.69349,0.36
AR,Grassland and marsh,GS3,2633.251839,0.27
AR,Grassland and marsh,GS2,6270.858745,0.33
AR,Grassland and marsh,GS2,10534.57646,0.47
AR,Grassland and marsh,GS2,1808.066558,0.56
AR,Woodland and scrub,WD1,6737.367013,0.49
AR,Woodland and scrub,WD1,2693.933976,0.49
AR,Woodland and scrub,WD1,3437.109916,0.49
AR,Woodland and scrub,WD1,4639.686077,0.49
AR,Woodland and scrub,WD1,3401.338071,0.49
AR,Woodland and scrub,WD1,46.404043,0.33
AR,Woodland and scrub,WD1,1839.729763,0.33
AR,Woodland and scrub,WD1,5578.901706,0.33
AR,Peatland,PF1,69523.19112,0.81
AR,Woodland and scrub,WD3,25664.9684,0.36
AR,Woodland and scrub,WD3,15185.98629,0.31
AR,Woodland and scrub,WD3,24386.61133,0.36
AR,Woodland and scrub,WD3,82266.93155,0.36
AR,Woodland and scrub,WD3,54088.97404,0.44
AR,Woodland and scrub,WD3,57882.00033,0.44
AR,Woodland and scrub,WS2,4977.007803,0.44
AR,Woodland and scrub,WS2,53133.44224,0.44
AR,Woodland and scrub,WS2,70951.08541,0.44
AR,Woodland and scrub,WS2,34999.70262,0.42
AR,Woodland and scrub,WS2,19490.36856,0.38
AR,Woodland and scrub,WS2,128840.9124,0.44
AR,Woodland and scrub,WS2,82205.3169,0.42
AR,Woodland and scrub,WS2,147313.3184,0.28
AR,Woodland and scrub,WS2,16489.90495,0.28
AR,Heath and dense bracken,HD1,3890.901081,0.42
AR,Heath and dense bracken,HD1,1137.142734,0.35
AR,Heath and dense bracken,HD1,1965.399019,0.4
AR,Heath and dense bracken,HD1,43080.33607,0.34
AR,Peatland,PF2,7397.698018,0.54
AR,Peatland,PF2,15555.04315,0.57
AR,Peatland,PF2,106703.636,0.53
AR,Peatland,PF2,69308.45326,0.49
AR,Peatland,PF2,86322.71588,0.53
AR,Peatland,PF2,13840.0783,0.44
AR,Woodland and scrub,WD2,16405.07182,0.36
AR,Woodland and scrub,WD2,20401.28938,0.36
AR,Woodland and scrub,WD2,36615.98938,0.36
AR,Woodland and scrub,WD2,10113.93028,0.4
AR,Woodland and scrub,WD2,11325.66485,0.44
AR,Woodland and scrub,WD2,15052.74993,0.36
AR,Heath and dense bracken,HH3,4102.37914,0.31
AR,Heath and dense bracken,HH3,4082.697292,0.42
AR,Heath and dense bracken,HH3,4520.434704,0.46
AR,Heath and dense bracken,HH3,9291.83294,0.46
AR,Heath and dense bracken,HH3,2834.578983,0.38
AR,Heath and dense bracken,HH3,1492.158178,0.48
AR,Heath and dense bracken,HH3,47627.9342,0.48
AR,Heath and dense bracken,HH3,50894.10568,0.48
AR,Heath and dense bracken,HH3,169109.4214,0.42
AR,Heath and dense bracken,HH3,60386.51619,0.42
AR,Heath and dense bracken,HH3,26215.19439,0.42
AR,Heath and dense bracken,HH3,145167.4039,0.42
AR,Heath and dense bracken,HH3,6526.039704,0.42
AR,Heath and dense bracken,HH3,7158.871891,0.42
AR,Heath and dense bracken,HH3,7843.234136,0.42
AR,Heath and dense bracken,HH3,50201.62033,0.23
AR,Woodland and scrub,WS1,8686.26331,0.33
AR,Woodland and scrub,WS1,19566.15921,0.33
AR,Woodland and scrub,WS1,50061.14514,0.33
AR,Woodland and scrub,WS1,47887.68772,0.36
AR,Woodland and scrub,WS1,9956.746495,0.36
AR,Woodland and scrub,WS1,4327.36694,0.44
AR,Woodland and scrub,WS1,41674.79149,0.36
AR,Woodland and scrub,WS1,8909.284744,0.36
AR,Woodland and scrub,WS1,40442.65452,0.36
AR,Woodland and scrub,WS1,3647.961504,0.36
AR,Woodland and scrub,WS1,1942.520828,0.36
AR,Woodland and scrub,WS1,48903.05676,0.36
AR,Woodland and scrub,WS1,2717.733083,0.46
AR,Woodland and scrub,WS1,14430.49267,0.46
AR,Woodland and scrub,WS1,15576.29935,0.46
